Jahr,Wochennummer,Wochenbeginn,Lat,Long,Ort,Durchschnitt
2020,21,2020-05-18,41.3864,2.1874,Ciutadella,49.557
2020,22,2020-05-25,41.3864,2.1874,Ciutadella,62.533
2020,19,2020-05-04,41.4261,2.148,Vall Hebron,63.096
2020,20,2020-05-11,41.4261,2.148,Vall Hebron,65.400
2020,21,2020-05-18,41.4261,2.148,Vall Hebron,77.631
2020,22,2020-05-25,41.4261,2.148,Vall Hebron,77.361
2020,19,2020-05-04,41.3875,2.1151,Palau Reial,65.471
2020,20,2020-05-11,41.3875,2.1151,Palau Reial,68.097
2020,21,2020-05-18,41.3875,2.1151,Palau Reial,70.401
2020,22,2020-05-25,41.3875,2.1151,Palau Reial,78.135
2020,23,2020-06-01,41.3853,2.1538,Eixample,52.750
2020,24,2020-06-08,41.3853,2.1538,Eixample,50.944
2020,25,2020-06-15,41.3853,2.1538,Eixample,42.301
2020,26,2020-06-22,41.3853,2.1538,Eixample,42.474
2020,27,2020-06-29,41.3853,2.1538,Eixample,40.243
2020,23,2020-06-01,41.3987,2.1534,Gràcia,61.363
2020,24,2020-06-08,41.3987,2.1534,Gràcia,57.237
2020,25,2020-06-15,41.3987,2.1534,Gràcia,48.582
2020,26,2020-06-22,41.3987,2.1534,Gràcia,46.586
2020,27,2020-06-29,41.3987,2.1534,Gràcia,43.691
2020,23,2020-06-01,41.3864,2.1874,Ciutadella,60.138
2020,24,2020-06-08,41.3864,2.1874,Ciutadella,58.750
2020,25,2020-06-15,41.3864,2.1874,Ciutadella,48.455
2020,26,2020-06-22,41.3864,2.1874,Ciutadella,44.795
2020,27,2020-06-29,41.3864,2.1874,Ciutadella,48.931
2020,23,2020-06-01,41.4261,2.148,Vall Hebron,67.875
2020,24,2020-06-08,41.4261,2.148,Vall Hebron,64.928
2020,25,2020-06-15,41.4261,2.148,Vall Hebron,57.233
2020,26,2020-06-22,41.4261,2.148,Vall Hebron,59.934
2020,27,2020-06-29,41.4261,2.148,Vall Hebron,57.167
2020,23,2020-06-01,41.3875,2.1151,Palau Reial,70.511
2020,24,2020-06-08,41.3875,2.1151,Palau Reial,68.555
2020,25,2020-06-15,41.3875,2.1151,Palau Reial,58.516
2020,26,2020-06-22,41.3875,2.1151,Palau Reial,54.268
2020,27,2020-06-29,41.3875,2.1151,Palau Reial,47.444
2020,28,2020-07-06,41.3853,2.1538,Eixample,50.623
2020,29,2020-07-13,41.3853,2.1538,Eixample,54.246
2020,30,2020-07-20,41.3853,2.1538,Eixample,50.636
2020,31,2020-07-27,41.3853,2.1538,Eixample,45.369
2020,28,2020-07-06,41.3987,2.1534,Gràcia,54.864
2020,29,2020-07-13,41.3987,2.1534,Gràcia,59.751
2020,30,2020-07-20,41.3987,2.1534,Gràcia,55.539
2020,31,2020-07-27,41.3987,2.1534,Gràcia,49.651
2020,28,2020-07-06,41.3864,2.1874,Ciutadella,58.568
2020,29,2020-07-13,41.3864,2.1874,Ciutadella,62.505
2020,30,2020-07-20,41.3864,2.1874,Ciutadella,56.829
2020,31,2020-07-27,41.3864,2.1874,Ciutadella,51.051
2020,28,2020-07-06,41.4261,2.148,Vall Hebron,67.674
2020,29,2020-07-13,41.4261,2.148,Vall Hebron,70.343
