Ort,Datum,Wert
Poblenou,2019-04-19 15,5
Poblenou,2019-04-19 16,4
Poblenou,2019-04-19 17,4
Poblenou,2019-04-19 18,5
Poblenou,2019-04-19 19,5
Poblenou,2019-04-19 20,6
Poblenou,2019-04-19 21,13
Poblenou,2019-04-19 22,19
Poblenou,2019-04-19 23,10
Poblenou,2019-04-19 24,25
Poblenou,2019-04-20 01,33
Poblenou,2019-04-20 02,37
Poblenou,2019-04-20 03,30
Poblenou,2019-04-20 04,24
Poblenou,2019-04-20 05,36
Poblenou,2019-04-20 06,30
Poblenou,2019-04-20 07,21
Poblenou,2019-04-20 08,25
Poblenou,2019-04-20 09,40
Poblenou,2019-04-20 10,30
Poblenou,2019-04-20 11,18
Poblenou,2019-04-20 12,12
Poblenou,2019-04-20 13,13
Poblenou,2019-04-20 14,12
Poblenou,2019-04-20 15,26
Poblenou,2019-04-20 16,13
Poblenou,2019-04-20 17,28
Poblenou,2019-04-20 18,32
Poblenou,2019-04-20 19,29
Poblenou,2019-04-20 20,21
Poblenou,2019-04-20 21,15
Poblenou,2019-04-20 22,14
Poblenou,2019-04-20 23,11
Poblenou,2019-04-20 24,8
Poblenou,2019-04-21 01,9
Poblenou,2019-04-21 02,7
Poblenou,2019-04-21 03,7
Poblenou,2019-04-21 04,9
Poblenou,2019-04-21 05,10
Poblenou,2019-04-21 06,12
Poblenou,2019-04-21 07,15
Poblenou,2019-04-21 08,7
Poblenou,2019-04-21 09,7
Poblenou,2019-04-21 10,13
Poblenou,2019-04-21 11,16
Poblenou,2019-04-21 12,9
Poblenou,2019-04-21 13,6
Poblenou,2019-04-21 14,8
Poblenou,2019-04-21 15,7
Poblenou,2019-04-21 16,6
Poblenou,2019-04-21 17,6
Poblenou,2019-04-21 18,6
Poblenou,2019-04-21 19,7
Poblenou,2019-04-21 20,9
Poblenou,2019-04-21 21,14
Poblenou,2019-04-21 22,12
Poblenou,2019-04-21 23,11
Poblenou,2019-04-21 24,10
