Datum,Jahr,Wert
2020-12-06 00:00:00,2019,38.857
2020-12-06 00:00:00,2020,9.124
2020-12-07 00:00:00,2020,31.453
2020-12-08 00:00:00,2020,15.155
2020-12-09 00:00:00,2019,23.955
2020-12-09 00:00:00,2020,18.919
2020-12-10 00:00:00,2019,45.625
2020-12-10 00:00:00,2020,33.82
2020-12-11 00:00:00,2019,42.326
2020-12-11 00:00:00,2020,47.006
2020-12-12 00:00:00,2019,23.222
2020-12-12 00:00:00,2020,13.634
2020-12-13 00:00:00,2019,16.451
2020-12-13 00:00:00,2020,25.435
2020-12-14 00:00:00,2019,17.428
2020-12-14 00:00:00,2020,67.85
2020-12-15 00:00:00,2019,29.486
2020-12-15 00:00:00,2020,47.155
2020-12-16 00:00:00,2019,55.947
2020-12-16 00:00:00,2020,50.874
2020-12-17 00:00:00,2019,49.014
2020-12-17 00:00:00,2020,48.904
2020-12-18 00:00:00,2019,43.835
2020-12-18 00:00:00,2020,37.181
2020-12-19 00:00:00,2019,50.087
2020-12-19 00:00:00,2020,32.72
2020-12-20 00:00:00,2019,44.756
2020-12-20 00:00:00,2020,16.795
2020-12-21 00:00:00,2019,35.423
2020-12-21 00:00:00,2020,31.367
2020-12-22 00:00:00,2019,9.137
2020-12-22 00:00:00,2020,40.733
2020-12-23 00:00:00,2019,29.436
2020-12-23 00:00:00,2020,45.192
2020-12-24 00:00:00,2019,35.453
2020-12-24 00:00:00,2020,29.317
2020-12-25 00:00:00,2019,37.012
2020-12-25 00:00:00,2020,8.466
2020-12-26 00:00:00,2019,30.342
2020-12-26 00:00:00,2020,13.554
2020-12-27 00:00:00,2019,31.396
2020-12-27 00:00:00,2020,16.87
2020-12-28 00:00:00,2019,42.907
2020-12-28 00:00:00,2020,16.722
2020-12-29 00:00:00,2019,33.758
2020-12-29 00:00:00,2020,14.224
2020-12-30 00:00:00,2019,38.075
2020-12-30 00:00:00,2020,15.088
2020-12-31 00:00:00,2019,32.703
2020-12-31 00:00:00,2020,22.006
